4898 11 1
0,3076923077 0,026788202 0,2168674699 0,3082822086 0,1300075149 0,149825784 0,373549884 1 0,2545454545 0,2674418605 0,1290322581 0,5
0,3461538462 0,0002587271 0,2530120482 0,0076687117 0,0953234291 0,0522648084 0,3758700696 4,58994083566261E-06 0,3636363636 0,3604651163 0,5322580645 0,5
0,2596153846 0,0002288739 0,0843373494 0,1058282209 0,1271171744 0,1114982578 0,2877030162 8,38989185429401E-06 0,4545454545 0,3255813953 0,2419354839 0,3333333333
0,2307692308 0,0005771604 0,2891566265 0,009202454 0,0837620672 0,0940766551 0,1531322506 0,00000209 0,5545454545 0,1976744186 0,7741935484 0,8333333333
0,25 0,0002288739 0,2289156627 0,0352760736 0,1097751315 0,0592334495 0,2157772622 4,08994728057959E-06 0,4090909091 0,1511627907 0,4838709677 0,6666666667
0,2884615385 0,0001791187 0,2530120482 0,0168711656 0,1415688768 0,1358885017 0,2621809745 0,9920001031 0,6818181818 0,3023255814 0,4032258065 0,8333333333
0,3653846154 0,0005871114 0,0843373494 0,013803681 0,2138273889 0,0801393728 0,3689095128 6,58991505599491E-06 0,3 0,3372093023 0,2096774194 0,3333333333
0,2692307692 0,0001890698 0,2469879518 0,0107361963 0,1502398983 0,0487804878 0,3085846868 7,98989701022759E-06 0,6363636364 0,2906976744 0,3225806452 0,5
0,3076923077 0,0001691677 0,1927710843 0,1288343558 0,1328978554 0,1881533101 0,5475638051 8,38989185429401E-06 0,4818181818 0,3255813953 0,3870967742 0,5
0,2980769231 0,0001592167 0,2108433735 0,0061349693 0,1502398983 0,1149825784 0,3178654292 0,9920001031 0,6636363636 0,2558139535 0,3225806452 0,5
0,3076923077 0,0001990208 0,234939759 0,1242331288 0,1473495578 0,1045296167 0,3062645012 8,98988412039374E-06 0,6 0,3604651163 0,4032258065 0,5
0,3461538462 0,0001890698 0,2891566265 0,0076687117 0,1357881958 0,0522648084 0,2853828306 4,2899447026128E-06 0,4272727273 0,3139534884 0,5806451613 0,5
0,3269230769 0,000238825 0,2168674699 0,0214723926 0,0953234291 0,1219512195 0,2436194896 0,00000349 0,3454545455 0,5697674419 0,6935483871 0,6666666667
0,4519230769 0,0001592167 0,234939759 0,1503067485 0,1271171744 0,06271777 0,3085846868 1,02898673636097E-05 0,4363636364 0,3604651163 0,3225806452 0,5
0,4326923077 5,97062452732556E-05 0,2048192771 0,0076687117 0,1213364934 0,0174216028 0,0881670534 6,2899189229451E-06 0,6818181818 0,2093023256 0,3548387097 0,5
0,3461538462 0,0001691677 0,2168674699 0,0222392638 8,67102144632638E-05 0,1010452962 0,211136891 0,991000116 0,4272727273 0,2558139535 0,4516129032 0,5
0,2307692308 3,98041635155037E-05 0,2048192771 0,013803681 0,1300075149 0,1428571429 0,2505800464 6,78991247802812E-06 0,6363636364 0,3372093023 0,1612903226 0,5
0,1923076923 0,0001890698 0,1204819277 0,2200920245 0,1271171744 0,0696864111 0,3944315545 9,08988283141035E-06 0,5909090909 0,1744186047 0,3548387097 0,3333333333
0,3365384615 0,0001990208 0,2590361446 0,0168711656 0,0001734204 0,0662020906 0,2645011601 0,00000339 0,4272727273 0,2325581395 0,7741935484 0,3333333333
0,2596153846 0,0003084823 0,1385542169 0,0736196319 0,1473495578 0,0801393728 0,3248259861 6,2899189229451E-06 0,4727272727 0,1511627907 0,3225806452 0,3333333333
0,3076923077 0,000248776 0,1927710843 0,009202454 0,1531302387 0,1254355401 0,2993039443 0,00000349 0,3727272727 0,0697674419 0,5161290323 0,5
0,3365384615 0,0001592167 0,234939759 0,2661042945 0,1646916007 0,149825784 0,3248259861 1,2789835139025E-05 0,4454545455 0,1627906977 0,0967741935 0,3333333333
0,3365384615 0,0001592167 0,234939759 0,2661042945 0,1646916007 0,149825784 0,3248259861 1,2789835139025E-05 0,4454545455 0,1627906977 0,0967741935 0,3333333333
0,2788461538 0,0001492656 0,234939759 0,0291411043 0,4970807561 0,212543554 0,3457076566 6,58991505599491E-06 0,3545454545 0,1627906977 0,2258064516 0,5
0,2788461538 0,0001592167 0,234939759 0,0352760736 0,4999710966 0,212543554 0,343387471 6,58991505599491E-06 0,3454545455 0,1395348837 0,2258064516 0,5
0,3076923077 0,0002288739 0,156626506 0,1042944785 0,1993756865 0,0905923345 0,3503480278 8,2898931432774E-06 0,3727272727 0,2790697674 0,2903225806 0,5
0,2692307692 0,0001592167 0,1626506024 0,0122699387 0,1646916007 0,1080139373 0,3317865429 6,2899189229451E-06 0,4545454545 0,3953488372 0,2419354839 0,5
0,2788461538 0,0001492656 0,156626506 0,0122699387 0,0001156136 0,1080139373 0,3364269142 6,2899189229451E-06 0,4727272727 0,3953488372 0,2419354839 0,5
0,3461538462 9,95104087887593E-05 0,186746988 0,0122699387 0,1675819412 0,1254355401 0,3665893271 5,98992278989529E-06 0,4 0,3604651163 0,3225806452 0,6666666667
0,2307692308 0,0003681885 0,156626506 0,0582822086 0,1820336436 0,212543554 0,4570765661 0,9930000902 0,5 0,3488372093 0,2903225806 0,1666666667
0,2307692308 0,0003781396 0,1506024096 0,0582822086 0,190704665 0,2090592334 0,4593967517 6,78991247802812E-06 0,4818181818 0,3488372093 0,2903225806 0,3333333333
0,3076923077 0,0002288739 0,156626506 0,1042944785 0,1993756865 0,0905923345 0,3503480278 8,2898931432774E-06 0,3727272727 0,2790697674 0,2903225806 0,5
0,2980769231 0,0001094614 0,2108433735 0,0674846626 0,1935950055 0,1045296167 0,3271461717 0,9940000773 0,5818181818 0,3023255814 0,2903225806 0,3333333333
0,3269230769 0,0001094614 0,186746988 0,0153374233 0,1791433031 0,1010452962 0,3805104408 4,58994083566261E-06 0,5727272727 0,2558139535 0,5967741935 0,5
0,2692307692 0,0001691677 0,1746987952 0,0076687117 0,196485346 0,1289198606 0,2668213457 4,2899447026128E-06 0,5636363636 0,4186046512 0,4838709677 0,6666666667
0,2307692308 7,96083270310074E-05 0,1987951807 0,0076687117 0,1646916007 0,0662020906 0,1693735499 0,9900001289 0,5454545455 0,2790697674 0,4677419355 0,6666666667
0,25 9,95104087887593E-05 0,2108433735 0,0061349693 0,1300075149 0,1289198606 0,2296983759 3,98994856956299E-06 0,5363636364 0,1511627907 0,4677419355 0,5
0,2884615385 0,0001194125 0,3554216867 0,004601227 0,4248222441 0,1254355401 0,2853828306 0,9920001031 0,3 0,1860465116 0,1774193548 0,5
0,2980769231 0,0001691677 0,2108433735 0,0107361963 0,112665472 0,0940766551 0,4222737819 0,00000369 0,3727272727 0,3488372093 0,4838709677 0,5
0,3269230769 0,0001293635 0,2048192771 0,1733128834 0,1242268339 0,1219512195 0,4733178654 9,08988283141035E-06 0,3363636364 0,3255813953 0,2580645161 0,5
0,2115384615 0,0001094614 0,156626506 0,1809815951 0,1386785363 0,1672473868 0,3201856148 1,00898699415765E-05 0,5272727273 0,1627906977 0,1451612903 0,5
0,2692307692 0,0002985312 0,0903614458 0,0613496933 0,1271171744 0,0801393728 0,1600928074 5,98992278989529E-06 0,3545454545 0,1860465116 0,3548387097 0,5
0,3461538462 0,0001194125 0,2168674699 0,009202454 0,1097751315 0,1463414634 0,2366589327 5,48992923481216E-06 0,5818181818 0,1395348837 0,3064516129 0,5
0,2884615385 0,0001393146 0,1445783133 0,0659509202 0,2658535175 0,0975609756 0,2645011601 7,98989701022759E-06 0,2818181818 0,2790697674 0,0967741935 0,5
0,2115384615 0,0001094614 0,156626506 0,1809815951 0,1386785363 0,1672473868 0,3201856148 1,00898699415765E-05 0,5272727273 0,1627906977 0,1451612903 0,5
0,3076923077 0,0003880906 0,0421686747 0,0076687117 0,1011041101 0,0522648084 0,3294663573 0,9900001289 0,2727272727 0,1395348837 0,4032258065 0,3333333333
0,2692307692 0,0002985312 0,0903614458 0,0613496933 0,1271171744 0,0801393728 0,1600928074 5,98992278989529E-06 0,3545454545 0,1860465116 0,3548387097 0,5
0,3269230769 0,0001592167 0,1626506024 0,0122699387 0,1097751315 0,1010452962 0,2621809745 5,58992794582876E-06 0,3909090909 0,2790697674 0,3709677419 0,5
0,2307692308 0,0002686781 0,0180722892 0,009202454 0,184923984 0,0940766551 0,2575406032 6,2899189229451E-06 0,4545454545 0,3720930233 0,1774193548 0,3333333333
0,25 0,0001791187 0,1445783133 0,0889570552 5,78068096421758E-05 0,0871080139 0,2668213457 0,00000319 0,4545454545 0,3139534884 0,7419354839 0,6666666667
0,2788461538 0,0001691677 0,078313253 0,009202454 0,118446153 0,275261324 0,3828306265 0,991000116 0,3818181818 0,2325581395 0,2903225806 0,3333333333
0,2788461538 0,0001492656 0,186746988 0,023006135 0,1328978554 0,0975609756 0,2018561485 5,48992923481216E-06 0,5545454545 0,488372093 0,435483871 0,8333333333
0,3461538462 0,0001592167 0,1746987952 0,1457055215 8,67102144632638E-05 0,0662020906 0,222737819 9,08988283141035E-06 0,3727272727 0,1511627907 0,2419354839 0,3333333333
0,2307692308 0,0001890698 0,2590361446 0,1104294479 0,1618012602 0,1602787456 0,5452436195 8,48989056531061E-06 0,3454545455 0,3372093023 0,1612903226 0,5
0,2884615385 0,0002189229 0,1385542169 0,0613496933 0,1762529626 0,168989547 0,5324825986 8,68988798734382E-06 0,5454545455 0,4418604651 0,2419354839 0,3333333333
0,2115384615 0,0001890698 0,1686746988 0,0644171779 0,1820336436 0,1010452962 0,4454756381 9,28988025344355E-06 0,8818181818 0,5697674419 0,3225806452 0,3333333333
0,4615384615 0,0001492656 0,2771084337 0,0061349693 0,1560205792 0,0243902439 0,1461716937 6,98990990006144E-06 0,2090909091 0,3139534884 0,1774193548 0,5
0,2788461538 0,0001492656 0,186746988 0,023006135 0,1328978554 0,0975609756 0,2018561485 5,48992923481216E-06 0,5545454545 0,488372093 0,435483871 0,8333333333
0,3461538462 0,0001592167 0,1746987952 0,1457055215 8,67102144632638E-05 0,0662020906 0,222737819 9,08988283141035E-06 0,3727272727 0,1511627907 0,2419354839 0,3333333333
0,3173076923 9,95104087887593E-05 0,2168674699 0,0122699387 0,1242268339 0,1010452962 0,180974478 0,00000269 0,4909090909 0,1744186047 0,7580645161 0,6666666667
0,3076923077 0,000238825 0,2048192771 0,0107361963 0,1213364934 0,06271777 0,1392111369 4,08994728057959E-06 0,5363636364 0,5 0,6451612903 0,6666666667
0,3461538462 9,95104087887593E-05 0,1807228916 0,1257668712 0,184923984 0,0836236934 0,2180974478 8,98988412039374E-06 0,2 0,3953488372 0,2096774194 0,3333333333
0,2788461538 0,0004577479 0,1686746988 0,0736196319 0,0001156136 0,0662020906 0,222737819 7,78989958819427E-06 0,5 0,1744186047 0,1612903226 0,3333333333
0,2884615385 0,0001393146 0,186746988 0,0122699387 0,1531302387 0,1114982578 0,2436194896 5,78992536786197E-06 0,6090909091 0,6395348837 0,4193548387 0,5
0,3173076923 0,0001194125 0,2048192771 0,236196319 8,67102144632638E-05 0,1707317073 0,3642691415 1,13898531847925E-05 0,4454545455 0,4418604651 0,1935483871 0,5
0,3173076923 0,0002587271 0,1204819277 0,0843558282 0,1820336436 0,1567944251 0,3596287703 7,48990345514446E-06 0,4090909091 0,2325581395 0,3225806452 0,3333333333
0,3365384615 0,0001393146 0,1807228916 0,1165644172 0,1357881958 0,1393728223 0,4593967517 9,48987767547676E-06 0,5545454545 0,2790697674 0,2419354839 0,5
0,3173076923 0,0003482864 0,3674698795 0,1717791411 0,1300075149 0,181184669 0,3387470998 1,02898673636097E-05 0,3545454545 0,2674418605 0,1129032258 0,3333333333
0,3173076923 0,0003582375 0,3734939759 0,1717791411 0,1271171744 0,1742160279 0,3317865429 1,03898660746263E-05 0,3636363636 0,2790697674 0,1129032258 0,5
0,3269230769 0,0003084823 0,3795180723 0,1595092025 0,1271171744 0,1846689895 0,3410672854 1,02898673636097E-05 0,3363636364 0,2558139535 0,1129032258 0,5
0,2884615385 0,0001691677 0,186746988 0,1947852761 8,67102144632638E-05 0,2334494774 0,4477958237 1,00898699415765E-05 0,4545454545 0,3023255814 0,2741935484 0,5
0,3173076923 0,0003482864 0,3674698795 0,1717791411 0,1300075149 0,181184669 0,3387470998 1,02898673636097E-05 0,3545454545 0,2674418605 0,1129032258 0,3333333333
0,3173076923 0,0003582375 0,3734939759 0,1717791411 0,1271171744 0,1742160279 0,3317865429 1,03898660746263E-05 0,3636363636 0,2790697674 0,1129032258 0,5
0,3269230769 0,0003084823 0,3795180723 0,1595092025 0,1271171744 0,1846689895 0,3410672854 1,02898673636097E-05 0,3363636364 0,2558139535 0,1129032258 0,5
0,2211538462 0,0001890698 0,2590361446 0,1058282209 0,1415688768 0,2195121951 0,5429234339 8,58988927632722E-06 0,3636363636 0,2906976744 0,1612903226 0,3333333333
0,2980769231 0,0001592167 0,1987951807 0,0168711656 0,1011041101 0,1567944251 0,2946635731 0,00000289 0,4909090909 0,2093023256 0,7419354839 0,6666666667
0,2980769231 0,0001293635 0,1987951807 0,018404908 0,0982137696 0,1602787456 0,2946635731 0,00000279 0,4818181818 0,2209302326 0,7419354839 0,6666666667
0,3557692308 8,95593679098834E-05 0,1927710843 0,0168711656 5,78068096421758E-05 0,1707317073 0,3225058005 4,48994212464601E-06 0,4454545455 0,2558139535 0,564516129 0,6666666667
0,3173076923 0,0001791187 0,1746987952 0,1809815951 0,1271171744 0,2090592334 0,535962877 9,78987380852657E-06 0,2909090909 0,2325581395 0,1935483871 0,5
0,2115384615 0,0002587271 0,3975903614 0,2346625767 0,1328978554 0,0836236934 0,3596287703 1,07898609186927E-05 0,3818181818 0,3255813953 0,1290322581 0,5
0,4615384615 0,263622975 0,2168674699 0,009202454 0,0982137696 0,0452961672 0,1647331787 4,1899459915962E-06 0,2090909091 0,1627906977 0,5483870968 0,6666666667
0,5769230769 0,0002786291 0,2771084337 0,1518404908 0,1097751315 0,0069686411 0,1716937355 8,48989056531061E-06 0,1545454545 0,0930232558 0,3387096774 0,1666666667
0,2115384615 0,0002587271 0,3975903614 0,2346625767 0,1328978554 0,0836236934 0,3596287703 1,07898609186927E-05 0,3818181818 0,3255813953 0,1290322581 0,5
0,3461538462 0,0001691677 0,2228915663 0,1978527607 0,0001156136 0,1742160279 0,4245939675 1,03898660746263E-05 0,2545454545 0,2558139535 0,1774193548 0,3333333333
0,3173076923 3,98041635155037E-05 0,1927710843 0,1380368098 0,1560205792 0,2160278746 0,3549883991 9,08988283141035E-06 0,6181818182 0,2209302326 0,2258064516 0,3333333333
0,2115384615 0,0001293635 0,1445783133 0,1763803681 8,67102144632638E-05 0,1846689895 0,3596287703 0,9960000516 0,5636363636 0,1976744186 0,2258064516 0,3333333333
0,3557692308 0,3034271385 0,2409638554 0,2806748466 0,1704722816 0,1463414634 0,373549884 1,28898338500416E-05 0,2454545455 0,2790697674 0,1612903226 0,3333333333
0,3461538462 0,0001691677 0,2228915663 0,1978527607 0,0001156136 0,1742160279 0,4245939675 1,03898660746263E-05 0,2545454545 0,2558139535 0,1774193548 0,3333333333
0,3365384615 4,97552043943797E-05 0,1927710843 0,2116564417 0,1473495578 0,1114982578 0,2320185615 1,02898673636097E-05 0,4363636364 0,1511627907 0,1935483871 0,5
0,3173076923 3,98041635155037E-05 0,1927710843 0,1380368098 0,1560205792 0,2160278746 0,3549883991 9,08988283141035E-06 0,6181818182 0,2209302326 0,2258064516 0,3333333333
0,3173076923 0,0001492656 0,2108433735 0,2438650307 5,78068096421758E-05 0,2020905923 0,3758700696 0,9980000258 0,4 0,4302325581 0,1774193548 0,5
0,3173076923 0,0001492656 0,2108433735 0,2438650307 5,78068096421758E-05 0,2020905923 0,3758700696 0,9980000258 0,4 0,4302325581 0,1774193548 0,5
0,2980769231 0,000248776 0,1686746988 0,0107361963 0,1473495578 0,1219512195 0,4129930394 5,58992794582876E-06 0,5 0,4418604651 0,3709677419 0,3333333333
0,2596153846 8,95593679098834E-05 0,3253012048 0,1211656442 0,2369501127 0,2160278746 0,3573085847 8,78988669836043E-06 0,1545454545 0,1976744186 0,1290322581 0,5
0,3269230769 0,0001890698 0,2771084337 0,2783742331 0,1502398983 0,149825784 0,5707656613 1,28898338500416E-05 0,2909090909 0,3488372093 0,1451612903 0,3333333333
0,3269230769 0,0002288739 0,3012048193 0,1947852761 0,1618012602 0,2299651568 0,4315545244 1,10898570517426E-05 0,2636363636 0,2906976744 0,1935483871 0,3333333333
0,2788461538 0,0003283843 0,2048192771 0,1319018405 0,1415688768 0,0940766551 0,3271461717 9,68987509750997E-06 0,4545454545 0,3372093023 0,1774193548 0,3333333333
0,2788461538 0,0003283843 0,2048192771 0,1319018405 0,1415688768 0,0940766551 0,3271461717 9,68987509750997E-06 0,4545454545 0,3372093023 0,1774193548 0,3333333333
0,1634615385 0,4825458743 0 0,013803681 0,1878143245 0,0209059233 0,2180974478 0,9930000902 0,8272727273 0,2093023256 0,2741935484 0,1666666667
0,2115384615 0,0002288739 0,1445783133 0,0414110429 0,118446153 0,0801393728 0,3109048724 4,2899447026128E-06 0,5363636364 0,2558139535 0,5322580645 0,5
0,3076923077 5,97062452732556E-05 0,2409638554 0,0168711656 0,1011041101 0,0487804878 0,1763341067 3,98994856956299E-06 0,4272727273 0,2325581395 0,6129032258 0,5
0,3269230769 0,0002288739 0,3012048193 0,1947852761 0,1618012602 0,2299651568 0,4315545244 1,10898570517426E-05 0,2636363636 0,2906976744 0,1935483871 0,3333333333
0,3365384615 0,000238825 0,2891566265 0,1947852761 0,0001156136 0,1916376307 0,43387471 1,10898570517426E-05 0,2909090909 0,3255813953 0,1935483871 0,3333333333
0,2019230769 0,0002786291 0,0240963855 0,0782208589 0,1328978554 0,0662020906 0,180974478 6,2899189229451E-06 0,4545454545 0,3372093023 0,3548387097 0,3333333333
0,3846153846 0,0001592167 0,1927710843 0,1779141104 0,1560205792 0,1393728223 0,2993039443 1,12898544737759E-05 0,2636363636 0,3720930233 0,1290322581 0,3333333333
0,3461538462 7,96083270310074E-05 0,186746988 0,0958588957 0,1704722816 0,1010452962 0,283062645 8,0898957212442E-06 0,5181818182 0,1395348837 0,2741935484 0,3333333333
0,2980769231 0,0001094614 0,1686746988 0,0674846626 0,1675819412 0,0418118467 0,3178654292 8,0898957212442E-06 0,5181818182 0,1627906977 0,1774193548 0,5
0,25 4,97552043943797E-05 0,2831325301 0,0153374233 0,2658535175 0,1324041812 0,3457076566 5,68992665684537E-06 0,4454545455 0,1627906977 0,2903225806 0,5
0,2788461538 0,0001094614 0,2168674699 0,0076687117 0,0750910457 0,212543554 0,3109048724 4,08994728057959E-06 0,5 0,3023255814 0,4838709677 0,5
0,3461538462 0,0003084823 0,1385542169 0,0981595092 0,0953234291 0,0940766551 0,2714617169 0,9930000902 0,3818181818 0,2325581395 0,4032258065 0,3333333333
0,2596153846 0,0001592167 0,1927710843 0,1073619632 0,1097751315 0,1602787456 0,4501160093 8,68988798734382E-06 0,6636363636 0,3720930233 0,2741935484 0,6666666667
0,2211538462 0,0002189229 0,3373493976 0,0337423313 0,1271171744 0,1567944251 0,3944315545 5,28993181277895E-06 0,5272727273 0,4069767442 0,4677419355 0,6666666667
0,2211538462 0,0002189229 0,3373493976 0,032208589 0,1328978554 0,1533101045 0,4060324826 5,28993181277895E-06 0,5363636364 0,4069767442 0,4677419355 0,5
0,1826923077 0,0001791187 0,1506024096 0,1503067485 0 0,0174216028 0,1113689095 0,9930000902 0,6090909091 0,1744186047 0,4193548387 0,3333333333
0,2596153846 0,0001592167 0,1927710843 0,1073619632 0,1097751315 0,1602787456 0,4501160093 8,68988798734382E-06 0,6636363636 0,3720930233 0,2741935484 0,6666666667
0,2596153846 0,422839629 0,2409638554 0,1917177914 0,1097751315 0,1986062718 0,5382830626 1,07898609186927E-05 0,4636363636 0,4069767442 0,1612903226 0,3333333333
0,2692307692 0,0001592167 0,1626506024 0,2331288344 0,1011041101 0,1533101045 0,4153132251 1,10898570517426E-05 0,4727272727 0,3372093023 0,1935483871 0,3333333333
0,2884615385 0,0001890698 0,1325301205 0,1150306748 0,0982137696 0,1846689895 0,4501160093 8,98988412039374E-06 0,4272727273 0,3488372093 0,1451612903 0,3333333333
0,2788461538 0,0001890698 0,186746988 0,231595092 0,1039944505 0,1463414634 0,3944315545 1,07898609186927E-05 0,4909090909 0,3953488372 0,2580645161 0,3333333333
0,4230769231 0,0001492656 0,2409638554 0,009202454 0,0779813862 0,118466899 0,2598607889 0,991000116 0,3636363636 0,1860465116 0,435483871 0,5
0,3173076923 0,0002885802 0,4036144578 0,1518404908 0,1300075149 0,1637630662 0,3387470998 1,03898660746263E-05 0,4 0,2558139535 0,1129032258 0,3333333333
0,2884615385 0,0001094614 0,2168674699 0,0199386503 0,1011041101 0,0975609756 0,2018561485 4,58994083566261E-06 0,3909090909 0,3720930233 0,4516129032 0,6666666667
0,4134615385 0,0001990208 0,234939759 0,0199386503 0,0837620672 0,0557491289 0,162412993 5,18993310176235E-06 0,4636363636 0,3488372093 0,6129032258 0,5
0,2403846154 0,0002288739 0,2048192771 0,0245398773 0,1300075149 0,06271777 0,1577726218 5,58992794582876E-06 0,5272727273 0,2441860465 0,3548387097 0,3333333333
0,3173076923 0,0002885802 0,4036144578 0,1518404908 0,1300075149 0,1637630662 0,3387470998 1,03898660746263E-05 0,4 0,2558139535 0,1129032258 0,3333333333
0,3942307692 0,0001293635 0,2409638554 0,009202454 0,112665472 0,1254355401 0,2273781903 0,991000116 0,4454545455 0,3720930233 0,4516129032 0,5
0,4519230769 0,0001293635 0,2469879518 0,0567484663 0,1039944505 0,0766550523 0,2088167053 7,58990216616106E-06 0,4181818182 0,3604651163 0,2741935484 0,5
0,4134615385 0,0001194125 0,2409638554 0,0214723926 0,106884791 0,0592334495 0,180974478 4,98993567972914E-06 0,3636363636 0,3720930233 0,5161290323 0,5
0,2403846154 0,2536719341 0,2228915663 0,0076687117 5,78068096421758E-05 0,1219512195 0,2436194896 0,00000339 0,2545454545 0,1976744186 0,4677419355 0,5
0,1730769231 7,96083270310074E-05 0,1626506024 0,0122699387 0,1271171744 0,1777003484 0,3689095128 4,68993954667922E-06 0,5090909091 0,1744186047 0,3387096774 0,5
0,25 0,592007324 0,0843373494 0,0705521472 0,1675819412 0,0452961672 0,2041763341 7,98989701022759E-06 0,6 0,1627906977 0,1612903226 0,1666666667
0,2403846154 0,0002587271 0,1987951807 0,0613496933 0,0982137696 0,0592334495 0,1647331787 4,58994083566261E-06 0,6 0,4186046512 0,6451612903 0,6666666667
0,2980769231 0,0001691677 0,1807228916 0,0536809816 0,1560205792 0,0731707317 0,2482598608 0,9930000902 0,2454545455 0,1860465116 0,2258064516 0,5
0,3942307692 0,0001393146 0,2289156627 0,1134969325 0,1242268339 0,1533101045 0,3317865429 6,2899189229451E-06 0,3636363636 0,1162790698 0,564516129 0,6666666667
0,3653846154 9,95104087887593E-05 0,2771084337 0,1472392638 0,1589109197 0,1951219512 0,2923433875 9,68987509750997E-06 0,3818181818 0,2441860465 0,3064516129 0,5
0,2980769231 0,0001691677 0,1807228916 0,0536809816 0,1560205792 0,0731707317 0,2482598608 0,9930000902 0,2454545455 0,1860465116 0,2258064516 0,5
0,3269230769 9,95104087887593E-05 0,2469879518 0,009202454 0,1386785363 0,1358885017 0,2041763341 4,78993825769582E-06 0,3818181818 0,2674418605 0,3870967742 0,3333333333
0,4230769231 0,0001492656 0,2409638554 0,1058282209 0,1415688768 0,0348432056 0,1554524362 9,48987767547676E-06 0,3090909091 0,7209302326 0,2741935484 0,5
0,3461538462 0,0001592167 0,2530120482 0,2055214724 0,190704665 0,1602787456 0,4385150812 1,07898609186927E-05 0,1545454545 0,2325581395 0,1451612903 0,5
0,3461538462 0,0001592167 0,2530120482 0,2055214724 0,190704665 0,1602787456 0,4385150812 1,07898609186927E-05 0,1545454545 0,2325581395 0,1451612903 0,5
0,2211538462 0,000238825 0,1445783133 0,013803681 0,1039944505 0,1254355401 0,2668213457 0,00000269 0,5181818182 0,2325581395 0,7096774194 0,6666666667
0,1346153846 0,0003582375 0,0240963855 0,0122699387 0,1039944505 0,1428571429 0,2552204176 0,00000229 0,5818181818 0,1279069767 0,6612903226 0,8333333333
0,1346153846 0,0003582375 0,0240963855 0,0122699387 0,1039944505 0,1428571429 0,2552204176 0,00000229 0,5818181818 0,1279069767 0,6612903226 0,8333333333
0,2211538462 0,000238825 0,1445783133 0,013803681 0,1039944505 0,1254355401 0,2668213457 0,00000269 0,5181818182 0,2325581395 0,7096774194 0,6666666667
0,25 0,0001393146 0,3373493976 0,213190184 0,1589109197 0,0871080139 0,3480278422 0,9970000387 0,2363636364 0,2093023256 0,1774193548 0,3333333333
0,2403846154 0,0002786291 0,1807228916 0,0644171779 0,1415688768 0,0418118467 0,1763341067 6,08992150091189E-06 0,5090909091 0,1976744186 0,4193548387 0,3333333333
